spotify_id,name,artists
0dY8qhMk6KOxw51j36GtlM,Расстояние,Ulukmanapo
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex
6hvPHIYi04pKv1vvTeVF9j,Привет,Bakr
0JmnkIqdlnUzPaf8sqBRs3,Moonlight,Kali Uchis
6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,TV Girl
36CwyCUu8fyBx1mBFMTs4j,NUOTYKIS,Proflame
3CmeWai5fvSIvgOy8Nw6sc,A Bit High,NOT BAD BOY
1GLBcWaalefu9ahDdL4rVa,Važiuoju Kur Širdis,GJan
2DAYE1jtbM0UNeYyPCC2z1,Nieko Nieko,Jessica Shy
2psbE7Ds01Xz2MaMIk7APk,Rugpjūtis,Justinas Jarutis
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,Hotel Ugly
3EaJDYHA0KnX88JvDhL9oa,Dark Red,Steve Lacy
3zB5KG6eGNnNS38dvAQs9K,BIZNIS,Proflame
0hcY1gJD8yQWdgi2oGVZCG,Apkabink,Jessica Shy
73LBcJygFdRAiJfWkpnf2G,Meridian,Dave
30D9x5LFgL2o9xidjX2wtE,Casanova,Soolking
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake
6EtKlIQmGPB9SX8UjDJG5s,Formula,Labrinth
2HbKqm4o0w5wEeEFXm2sD4,Money Trees,Kendrick Lamar
6z0GwK274ToNmvxfyYPuHw,Petit génie,Jungeli
2BvjmY4Mp5q1AHL0laetd6,Saiyan,Heuss L'enfoiré
2ImdwbujxKFxN1UxEvf2dD,LAISSE MOI,KeBlack
1sgGy5HcUAdYoWGj3RXmYb,Царица,ANNA ASTI
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin
6IdcyYfBz9LG3SWIKVyNgh,Arranca (feat. Omega),Becky G
609E1JCInJncactoMmkDon,BESO,ROSALÍA
